id	path	sr	stim	part	domain	consumer	required	source_evidence
drone4_classic_48000_t80	drone4_classic	48000	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_88200_t20	drone4_classic	88200	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_88200_t50	drone4_classic	88200	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_88200_t80	drone4_classic	88200	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_96000_t20	drone4_classic	96000	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_96000_t50	drone4_classic	96000	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_96000_t80	drone4_classic	96000	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_v0_44100_t20	drone4_classic_v0	44100	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_44100_t50	drone4_classic_v0	44100	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_44100_t80	drone4_classic_v0	44100	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_48000_t20	drone4_classic_v0	48000	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_48000_t50	drone4_classic_v0	48000	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_48000_t80	drone4_classic_v0	48000	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_88200_t20	drone4_classic_v0	88200	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_88200_t50	drone4_classic_v0	88200	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_88200_t80	drone4_classic_v0	88200	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_96000_t20	drone4_classic_v0	96000	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_96000_t50	drone4_classic_v0	96000	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone4_classic_v0_96000_t80	drone4_classic_v0	96000	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role, volt=0 (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=0 semis down (drone_4.volt norm 0.0) => generators land ~551/835/1266 Hz, inside the HIGH role band 420-1800 Hz -- THIS is the ruling-3 HIGH cell
drone3_schmitt_44100_p20	drone3_schmitt	44100	p20	p20	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_44100_p60	drone3_schmitt	44100	p60	p60	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_48000_p20	drone3_schmitt	48000	p20	p20	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_48000_p60	drone3_schmitt	48000	p60	p60	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_88200_p20	drone3_schmitt	88200	p20	p20	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_88200_p60	drone3_schmitt	88200	p60	p60	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_96000_p20	drone3_schmitt	96000	p20	p20	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone3_schmitt_96000_p60	drone3_schmitt	96000	p60	p60	volt	new-drone drone-3 Schmitt audio tone (drone3Channel())	1	product-reachable (drone_3_pitch; noise/fm/am=0), 2 pitch levels
drone6_schmitt_44100_p30	drone6_schmitt	44100	p30	p30	volt	new-drone drone-6 Schmitt audio tone (drone6Channel())	1	product-reachable (drone_6_pitch; noise/fm/am=0)
drone6_schmitt_48000_p30	drone6_schmitt	48000	p30	p30	volt	new-drone drone-6 Schmitt audio tone (drone6Channel())	1	product-reachable (drone_6_pitch; noise/fm/am=0)
drone6_schmitt_88200_p30	drone6_schmitt	88200	p30	p30	volt	new-drone drone-6 Schmitt audio tone (drone6Channel())	1	product-reachable (drone_6_pitch; noise/fm/am=0)
drone6_schmitt_96000_p30	drone6_schmitt	96000	p30	p30	volt	new-drone drone-6 Schmitt audio tone (drone6Channel())	1	product-reachable (drone_6_pitch; noise/fm/am=0)
preamp_ac_44100_l0	preamp_ac	44100	l0	l0	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_44100_l1	preamp_ac	44100	l1	l1	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_48000_l0	preamp_ac	48000	l0	l0	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_48000_l1	preamp_ac	48000	l1	l1	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_88200_l0	preamp_ac	88200	l0	l0	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_88200_l1	preamp_ac	88200	l1	l1	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_96000_l0	preamp_ac	96000	l0	l0	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
preamp_ac_96000_l1	preamp_ac	96000	l1	l1	device	preamp tanh input stage via WET bus (wet_l), AC sine on ch1	1	product-reachable (ch1 adapter AC feed; preamp_gain 2 levels)
wet_chain_44100_44100	wet_chain	44100	44100	44100	device	composite kVcfPath WET output (wet_l)	1	product composite chain, not single-module
wet_chain_48000_48000	wet_chain	48000	48000	48000	device	composite kVcfPath WET output (wet_l)	1	product composite chain, not single-module
wet_chain_88200_88200	wet_chain	88200	88200	88200	device	composite kVcfPath WET output (wet_l)	1	product composite chain, not single-module
wet_chain_96000_96000	wet_chain	96000	96000	96000	device	composite kVcfPath WET output (wet_l)	1	product composite chain, not single-module
vco_sub	vco_sub	-	-	-	-	VCO sub (phase-locked saw 1 octave down)	0	module-probe: vco.h:206-218 sub branch runs only when subOut!=nullptr; both runtime call sites pass tick(&main) -> sub NEVER product-reachable
vco_saw_pulse_morph	vco_saw_pulse_morph	-	-	-	-	VCO saw/pulse/sine/morph waveforms	0	module-probe: no waveform-selector ParameterId exists; morph/pw affect only kMorph*/kPulse (both unreachable) -> product wave_ fixed kTriangle
