id	group	sr	mode	res	norm	norm_label	lvl	freq	channel	required
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f3500	cutoff_norm	44100	bp	0	0.00	0	0.2	3500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f3500	cutoff_norm	44100	bp	0.5	0.00	0	0.05	3500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f3500	cutoff_norm	44100	bp	0.5	0.00	0	0.2	3500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f3500	cutoff_norm	44100	bp	1	0.00	0	0.05	3500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f3500	cutoff_norm	44100	bp	1	0.00	0	0.2	3500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f4500	cutoff_norm	44100	bp	0	0.00	0	0.05	4500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f4500	cutoff_norm	44100	bp	0	0.00	0	0.2	4500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f4500	cutoff_norm	44100	bp	0.5	0.00	0	0.05	4500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f4500	cutoff_norm	44100	bp	0.5	0.00	0	0.2	4500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f4500	cutoff_norm	44100	bp	1	0.00	0	0.05	4500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f4500	cutoff_norm	44100	bp	1	0.00	0	0.2	4500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f5500	cutoff_norm	44100	bp	0	0.00	0	0.05	5500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f5500	cutoff_norm	44100	bp	0	0.00	0	0.2	5500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f5500	cutoff_norm	44100	bp	0.5	0.00	0	0.05	5500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f5500	cutoff_norm	44100	bp	0.5	0.00	0	0.2	5500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f5500	cutoff_norm	44100	bp	1	0.00	0	0.05	5500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f5500	cutoff_norm	44100	bp	1	0.00	0	0.2	5500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f6500	cutoff_norm	44100	bp	0	0.00	0	0.05	6500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f6500	cutoff_norm	44100	bp	0	0.00	0	0.2	6500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f6500	cutoff_norm	44100	bp	0.5	0.00	0	0.05	6500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f6500	cutoff_norm	44100	bp	0.5	0.00	0	0.2	6500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f6500	cutoff_norm	44100	bp	1	0.00	0	0.05	6500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f6500	cutoff_norm	44100	bp	1	0.00	0	0.2	6500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f7000	cutoff_norm	44100	bp	0	0.00	0	0.05	7000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f7000	cutoff_norm	44100	bp	0	0.00	0	0.2	7000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f7000	cutoff_norm	44100	bp	0.5	0.00	0	0.05	7000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f7000	cutoff_norm	44100	bp	0.5	0.00	0	0.2	7000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f7000	cutoff_norm	44100	bp	1	0.00	0	0.05	7000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f7000	cutoff_norm	44100	bp	1	0.00	0	0.2	7000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f8000	cutoff_norm	44100	bp	0	0.00	0	0.05	8000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f8000	cutoff_norm	44100	bp	0	0.00	0	0.2	8000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f8000	cutoff_norm	44100	bp	0.5	0.00	0	0.05	8000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f8000	cutoff_norm	44100	bp	0.5	0.00	0	0.2	8000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f8000	cutoff_norm	44100	bp	1	0.00	0	0.05	8000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f8000	cutoff_norm	44100	bp	1	0.00	0	0.2	8000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0_f9000	cutoff_norm	44100	bp	0	0.00	0	0.05	9000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0_f9000	cutoff_norm	44100	bp	0	0.00	0	0.2	9000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0_f9000	cutoff_norm	44100	bp	0.5	0.00	0	0.05	9000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0_f9000	cutoff_norm	44100	bp	0.5	0.00	0	0.2	9000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0_f9000	cutoff_norm	44100	bp	1	0.00	0	0.05	9000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0_f9000	cutoff_norm	44100	bp	1	0.00	0	0.2	9000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f60	cutoff_norm	44100	bp	0	0.05	0p05	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f60	cutoff_norm	44100	bp	0	0.05	0p05	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f60	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f60	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f60	cutoff_norm	44100	bp	1	0.05	0p05	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f60	cutoff_norm	44100	bp	1	0.05	0p05	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f100	cutoff_norm	44100	bp	0	0.05	0p05	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f100	cutoff_norm	44100	bp	0	0.05	0p05	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f100	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f100	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f100	cutoff_norm	44100	bp	1	0.05	0p05	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f100	cutoff_norm	44100	bp	1	0.05	0p05	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f200	cutoff_norm	44100	bp	0	0.05	0p05	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f200	cutoff_norm	44100	bp	0	0.05	0p05	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f200	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f200	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f200	cutoff_norm	44100	bp	1	0.05	0p05	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f200	cutoff_norm	44100	bp	1	0.05	0p05	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f400	cutoff_norm	44100	bp	0	0.05	0p05	0.05	400	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f400	cutoff_norm	44100	bp	0	0.05	0p05	0.2	400	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f400	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	400	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f400	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	400	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f400	cutoff_norm	44100	bp	1	0.05	0p05	0.05	400	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f400	cutoff_norm	44100	bp	1	0.05	0p05	0.2	400	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f800	cutoff_norm	44100	bp	0	0.05	0p05	0.05	800	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f800	cutoff_norm	44100	bp	0	0.05	0p05	0.2	800	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f800	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	800	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f800	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	800	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f800	cutoff_norm	44100	bp	1	0.05	0p05	0.05	800	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f800	cutoff_norm	44100	bp	1	0.05	0p05	0.2	800	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f1200	cutoff_norm	44100	bp	0	0.05	0p05	0.05	1200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f1200	cutoff_norm	44100	bp	0	0.05	0p05	0.2	1200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f1200	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	1200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f1200	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	1200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f1200	cutoff_norm	44100	bp	1	0.05	0p05	0.05	1200	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f1200	cutoff_norm	44100	bp	1	0.05	0p05	0.2	1200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f1600	cutoff_norm	44100	bp	0	0.05	0p05	0.05	1600	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f1600	cutoff_norm	44100	bp	0	0.05	0p05	0.2	1600	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f1600	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	1600	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f1600	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	1600	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f1600	cutoff_norm	44100	bp	1	0.05	0p05	0.05	1600	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f1600	cutoff_norm	44100	bp	1	0.05	0p05	0.2	1600	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f2500	cutoff_norm	44100	bp	0	0.05	0p05	0.05	2500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f2500	cutoff_norm	44100	bp	0	0.05	0p05	0.2	2500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f2500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	2500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f2500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	2500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f2500	cutoff_norm	44100	bp	1	0.05	0p05	0.05	2500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f2500	cutoff_norm	44100	bp	1	0.05	0p05	0.2	2500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f3500	cutoff_norm	44100	bp	0	0.05	0p05	0.05	3500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f3500	cutoff_norm	44100	bp	0	0.05	0p05	0.2	3500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f3500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	3500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f3500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	3500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f3500	cutoff_norm	44100	bp	1	0.05	0p05	0.05	3500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f3500	cutoff_norm	44100	bp	1	0.05	0p05	0.2	3500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f4500	cutoff_norm	44100	bp	0	0.05	0p05	0.05	4500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f4500	cutoff_norm	44100	bp	0	0.05	0p05	0.2	4500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f4500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	4500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f4500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	4500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f4500	cutoff_norm	44100	bp	1	0.05	0p05	0.05	4500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f4500	cutoff_norm	44100	bp	1	0.05	0p05	0.2	4500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f5500	cutoff_norm	44100	bp	0	0.05	0p05	0.05	5500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f5500	cutoff_norm	44100	bp	0	0.05	0p05	0.2	5500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f5500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	5500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f5500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	5500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f5500	cutoff_norm	44100	bp	1	0.05	0p05	0.05	5500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f5500	cutoff_norm	44100	bp	1	0.05	0p05	0.2	5500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f6500	cutoff_norm	44100	bp	0	0.05	0p05	0.05	6500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f6500	cutoff_norm	44100	bp	0	0.05	0p05	0.2	6500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f6500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	6500	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f6500	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	6500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f6500	cutoff_norm	44100	bp	1	0.05	0p05	0.05	6500	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f6500	cutoff_norm	44100	bp	1	0.05	0p05	0.2	6500	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f7000	cutoff_norm	44100	bp	0	0.05	0p05	0.05	7000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f7000	cutoff_norm	44100	bp	0	0.05	0p05	0.2	7000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f7000	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	7000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f7000	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	7000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f7000	cutoff_norm	44100	bp	1	0.05	0p05	0.05	7000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f7000	cutoff_norm	44100	bp	1	0.05	0p05	0.2	7000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f8000	cutoff_norm	44100	bp	0	0.05	0p05	0.05	8000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f8000	cutoff_norm	44100	bp	0	0.05	0p05	0.2	8000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f8000	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	8000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f8000	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	8000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f8000	cutoff_norm	44100	bp	1	0.05	0p05	0.05	8000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f8000	cutoff_norm	44100	bp	1	0.05	0p05	0.2	8000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p05_f9000	cutoff_norm	44100	bp	0	0.05	0p05	0.05	9000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p05_f9000	cutoff_norm	44100	bp	0	0.05	0p05	0.2	9000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p05_f9000	cutoff_norm	44100	bp	0.5	0.05	0p05	0.05	9000	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p05_f9000	cutoff_norm	44100	bp	0.5	0.05	0p05	0.2	9000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p05_f9000	cutoff_norm	44100	bp	1	0.05	0p05	0.05	9000	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p05_f9000	cutoff_norm	44100	bp	1	0.05	0p05	0.2	9000	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p1_f60	cutoff_norm	44100	bp	0	0.10	0p1	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p1_f60	cutoff_norm	44100	bp	0	0.10	0p1	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p1_f60	cutoff_norm	44100	bp	0.5	0.10	0p1	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p1_f60	cutoff_norm	44100	bp	0.5	0.10	0p1	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p1_f60	cutoff_norm	44100	bp	1	0.10	0p1	0.05	60	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p1_f60	cutoff_norm	44100	bp	1	0.10	0p1	0.2	60	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p1_f100	cutoff_norm	44100	bp	0	0.10	0p1	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p1_f100	cutoff_norm	44100	bp	0	0.10	0p1	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p1_f100	cutoff_norm	44100	bp	0.5	0.10	0p1	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlmedium_n0p1_f100	cutoff_norm	44100	bp	0.5	0.10	0p1	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r1_lvlsmall_n0p1_f100	cutoff_norm	44100	bp	1	0.10	0p1	0.05	100	wetL	1
cutoff_norm_sr44100_bp_r1_lvlmedium_n0p1_f100	cutoff_norm	44100	bp	1	0.10	0p1	0.2	100	wetL	1
cutoff_norm_sr44100_bp_r0_lvlsmall_n0p1_f200	cutoff_norm	44100	bp	0	0.10	0p1	0.05	200	wetL	1
cutoff_norm_sr44100_bp_r0_lvlmedium_n0p1_f200	cutoff_norm	44100	bp	0	0.10	0p1	0.2	200	wetL	1
cutoff_norm_sr44100_bp_r0p5_lvlsmall_n0p1_f200	cutoff_norm	44100	bp	0.5	0.10	0p1	0.05	200	wetL	1
